class,tags,user,url
ANIMALES,"lion, king of beasts, Panthera leo",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage8/t0.0-17/OBPTH/cd52f3b68c1f11e2b71122000a9e28e1_6.jpg
ANIMALES,Yorkshire terrier,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage11/t0.0-17/OBPTH/9866b92cc47c11e2a88722000a1f90d0_6.jpg
ANIMALES,tusker,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage8/t0.0-17/OBPTH/2563ea7c1b4811e28393123138133f89_6.jpg
ANIMALES,Yorkshire terrier,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage2/t0.0-17/OBPTH/abcd84e468f711e39aef1254a5633066_6.jpg
ANIMALES,tusker,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage6/t0.0-17/OBPTH/840b1b181b4811e28ddc22000a9f15db_6.jpg
ANIMALES,"lion, king of beasts, Panthera leo",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage2/t0.0-17/OBPTH/e0a104781c1511e2ad5c123138100de9_6.jpg
ANIMALES,Yorkshire terrier,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage10/t0.0-17/OBPTH/6dfd54c0358411e2a8e322000a9f13d9_6.jpg
ANIMALES,"Boston bull, Boston terrier",BARACK OBAMA,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage1/t0.0-17/OBPTH/653640384ded11e1abb01231381b65e3_6.jpg
ANIMALES,Yorkshire terrier,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/1169723_201221300064578_1022538501_n.jpg
ANIMALES,Yorkshire terrier,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10358372_643707272380491_50476216_n.jpg
ARTE/LITERATURA,"slide rule, slipstick",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage4/t0.0-17/OBPTH/bc710a1e697011e282e022000a1fbc68_6.jpg
ARTE/LITERATURA,menu,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage7/t0.0-17/OBPTH/8959acd21b2a11e3a1d122000ae911c2_6.jpg
ARTE/LITERATURA,street sign,BARACK OBAMA,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage10/t0.0-17/OBPTH/9b9f0772747111e180d51231380fcd7e_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage0/t0.0-17/OBPTH/aaad9ef26fd111e28e2c22000a1fb747_6.jpg
ARTE/LITERATURA,menu,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/1390079_437850029654297_665412951_n.jpg
ARTE/LITERATURA,menu,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage0/t0.0-17/OBPTH/8ff4b3403d0c11e2b74c22000a9f1427_6.jpg
ARTE/LITERATURA,menu,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/1516059_668204586554949_642222544_n.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage8/t0.0-17/OBPTH/8e9d12c2b60511e29b7122000a1f9a64_6.jpg
ARTE/LITERATURA,"brass, memorial tablet, plaque",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage7/t0.0-17/OBPTH/9e7a9962383211e38b1d22000ae91391_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage1/t0.0-17/OBPTH/afe75eda917811e28dc022000a1f8c21_6.jpg
ARTE/LITERATURA,"slide rule, slipstick",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10895329_315080275358264_1016961475_n.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage3/t0.0-17/OBPTH/6c068d0ebedc11e1a39b1231381b7ba1_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage5/t0.0-17/OBPTH/3d626aa8a08c11e2808622000a1f9aaf_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage1/t0.0-17/OBPTH/54078cf07abe11e2b4e822000a9f130c_6.jpg
ARTE/LITERATURA,menu,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage9/t0.0-17/OBPTH/2af2672ac02f11e2aa3022000a9e2931_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage4/t0.0-17/OBPTH/6d47703eb5bc11e29ee622000aa80004_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage0/t0.0-17/OBPTH/f0cd11f4251911e29a4b22000a1fb593_6.jpg
ARTE/LITERATURA,street sign,BARACK OBAMA,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage2/t0.0-17/OBPTH/eafdfd52039411e28a2e22000a1ea02d_6.jpg
ARTE/LITERATURA,menu,BARACK OBAMA,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage11/t0.0-17/OBPTH/64eccb5851e711e1abb01231381b65e3_6.jpg
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage1/t0.0-17/OBPTH/d3da1c9e4d1a11e2982122000a1f8c32_6.jpg
